longitude,latitude,start_date,end_date,label,id
-55.709730857295,-11.557291665622,2000-02-18,2017-03-18,NoClass,107
-55.707604409946,-11.557291665622,2000-02-18,2017-03-18,NoClass,108
-55.705477962598,-11.557291665622,2000-02-18,2017-03-18,NoClass,109
-55.703351515249,-11.557291665622,2000-02-18,2017-03-18,NoClass,110
-55.701225067901,-11.557291665622,2000-02-18,2017-03-18,NoClass,111
-55.699098620553,-11.557291665622,2000-02-18,2017-03-18,NoClass,112
-55.696972173204,-11.557291665622,2000-02-18,2017-03-18,NoClass,113
-55.694845725856,-11.557291665622,2000-02-18,2017-03-18,NoClass,114
-55.692719278507,-11.557291665622,2000-02-18,2017-03-18,NoClass,115
-55.690592831159,-11.557291665622,2000-02-18,2017-03-18,NoClass,116
-55.68846638381,-11.557291665622,2000-02-18,2017-03-18,NoClass,117
-55.686339936462,-11.557291665622,2000-02-18,2017-03-18,NoClass,118
-55.684213489114,-11.557291665622,2000-02-18,2017-03-18,NoClass,119
-55.682087041765,-11.557291665622,2000-02-18,2017-03-18,NoClass,120
-55.679960594417,-11.557291665622,2000-02-18,2017-03-18,NoClass,121
-55.677834147069,-11.557291665622,2000-02-18,2017-03-18,NoClass,122
-55.67570769972,-11.557291665622,2000-02-18,2017-03-18,NoClass,123
-55.673581252372,-11.557291665622,2000-02-18,2017-03-18,NoClass,124
-55.671454805023,-11.557291665622,2000-02-18,2017-03-18,NoClass,125
-55.669328357675,-11.557291665622,2000-02-18,2017-03-18,NoClass,126
-55.756098155469,-11.555208332289,2000-02-18,2017-03-18,NoClass,127
-55.753971723931,-11.555208332289,2000-02-18,2017-03-18,NoClass,128
-55.751845292392,-11.555208332289,2000-02-18,2017-03-18,NoClass,129
-55.749718860854,-11.555208332289,2000-02-18,2017-03-18,NoClass,130
-55.747592429315,-11.555208332289,2000-02-18,2017-03-18,NoClass,131
-55.745465997777,-11.555208332289,2000-02-18,2017-03-18,NoClass,132
-55.743339566238,-11.555208332289,2000-02-18,2017-03-18,NoClass,133
-55.7412131347,-11.555208332289,2000-02-18,2017-03-18,NoClass,134
-55.739086703161,-11.555208332289,2000-02-18,2017-03-18,NoClass,135
-55.736960271623,-11.555208332289,2000-02-18,2017-03-18,NoClass,136
-55.734833840084,-11.555208332289,2000-02-18,2017-03-18,NoClass,137
-55.732707408546,-11.555208332289,2000-02-18,2017-03-18,NoClass,138
-55.730580977007,-11.555208332289,2000-02-18,2017-03-18,NoClass,139
-55.728454545469,-11.555208332289,2000-02-18,2017-03-18,NoClass,140
-55.72632811393,-11.555208332289,2000-02-18,2017-03-18,NoClass,141
-55.724201682392,-11.555208332289,2000-02-18,2017-03-18,NoClass,142
-55.722075250853,-11.555208332289,2000-02-18,2017-03-18,NoClass,143
-55.719948819315,-11.555208332289,2000-02-18,2017-03-18,NoClass,144
-55.717822387776,-11.555208332289,2000-02-18,2017-03-18,NoClass,145
-55.715695956237,-11.555208332289,2000-02-18,2017-03-18,NoClass,146
-55.713569524699,-11.555208332289,2000-02-18,2017-03-18,NoClass,147
-55.71144309316,-11.555208332289,2000-02-18,2017-03-18,NoClass,148
-55.709316661622,-11.555208332289,2000-02-18,2017-03-18,NoClass,149
-55.707190230083,-11.555208332289,2000-02-18,2017-03-18,NoClass,150
-55.705063798545,-11.555208332289,2000-02-18,2017-03-18,NoClass,151
-55.702937367006,-11.555208332289,2000-02-18,2017-03-18,NoClass,152
-55.700810935468,-11.555208332289,2000-02-18,2017-03-18,NoClass,153
-55.698684503929,-11.555208332289,2000-02-18,2017-03-18,NoClass,154
-55.696558072391,-11.555208332289,2000-02-18,2017-03-18,NoClass,155
-55.694431640852,-11.555208332289,2000-02-18,2017-03-18,NoClass,156
-55.692305209314,-11.555208332289,2000-02-18,2017-03-18,NoClass,157
-55.690178777775,-11.555208332289,2000-02-18,2017-03-18,NoClass,158
-55.688052346237,-11.555208332289,2000-02-18,2017-03-18,NoClass,159
